0 weight:24 cost:5
011000000111010 weight:61 fitness:118
101000100010100 weight:62 fitness:90
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
111001010000110 weight:65 fitness:81
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
111011000001000 weight:62 fitness:82
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
111100000001010 weight:59 fitness:84
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120

Current population for 2 generation
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
011000000111010 weight:61 fitness:118
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120

Current population for 3 generation
011000000111010 weight:61 fitness:118
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111010 weight:54 fitness:109
001000000111100 weight:64 fitness:120
010000000111100 weight:58 fitness:107
001000000111100 weight:64 fitness:120
001000000111010 weight:54 fitness:109
000001001000100 weight:54 fitness:53
011000000111010 weight:61 fitness:118
001000000111010 weight:54 fitness:109
001000000001111 weight:65 fitness:85
011000000111010 weight:61 fitness:118
001000000111010 weight:54 fitness:109
001000000111010 weight:54 fitness:109
001000000111100 weight:64 fitness:120
011000100110000 weight:64 fitness:103
001000000111010 weight:54 fitness:109
001000000111100 weight:64 fitness:120
001010000001110 weight:54 fitness:90
011000000111000 weight:57 fitness:109
001000000111000 weight:50 fitness:100
001000000111010 weight:54 fitness:109
001000000111010 weight:54 fitness:109
001000000111100 weight:64 fitness:120
001000000111010 weight:54 fitness:109
001000000101110 weight:56 fitness:110
011000000110100 weight:61 fitness:100
001000000111010 weight:54 fitness:109
001000000111100 weight:64 fitness:120
001000000111000 weight:50 fitness:100
000011001000000 weight:53 fitness:43
011000000111010 weight:61 fitness:118
001000000111010 weight:54 fitness:109
001000000111010 weight:54 fitness:109

Current population for 4 generation
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120
001000000111100 weight:64 fitness:120

